Digger,Bucket_capacity,Cycle_time,Efficiency,Product_type
Kom. PC200 C,1.2,13,0.92,Backhoe
Kom. PC300-7,2.1,14,0.92,Backhoe
Kom. PC400 C,2.8,16,0.92,Backhoe
R9300,17.5,29,0.92,Backhoe
R9200,14,31,0.92,Backhoe
R9100,8,23,0.92,Backhoe
ZX870,5,25,0.92,Backhoe
XE2000,14,32,0.92,Backhoe
ZX890,5,25,0.92,Backhoe
SDLG80,5,25,0.92,Backhoe
XE3000,17.5,36,0.92,Shovel
XDR800,5,25,0.92,Backhoe
PC 2000,14,32,0.92,Backhoe
PC 2000 Coal,14,34,0.92,Backhoe
Sany SY 500 H,3.1,20,0.92,Backhoe
Volvo EC 480,3.1,20,0.92,Backhoe
Komatsu PC 800,4.4,25,0.92,Backhoe
Doosan DX800,5.58,25,0.92,Backhoe
Volvo EC950,6,25,0.92,Backhoe
Komatsu PC 1250,6.7,25,0.92,Backhoe
Doosan S50LCV,3.2,20,0.92,Backhoe
Kom. PC3000,15,32,0.92,Backhoe
Kom. PC4000,22,36,0.92,Backhoe
Hitachi EX 1200,6.5,23,0.92,Backhoe
Hitachi EX 2500,15,32,0.92,Backhoe
Zaxis 470,3.2,20,0.92,Backhoe
